"Data Import Template"
"Table:","Dosage"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Dosage","","~","Dosage Strength","dosage_strength"
"Column Labels:","ID","Dosage","","Strength","Time"
"Column Name:","name","dosage","~","strength","strength_time"
"Mandatory:","Yes","Yes","","Yes","No"
"Type:","Data (text)","Data","","Float","Time"
"Info:","","","","",""
"Start entering data below this line"
"","""1-1-1-1""","1-1-1-1","",1.0,"9:00:00"
"","","","",1.0,"13:00:00"
"","","","",1.0,"17:00:00"
"","","","",1.0,"21:00:00"
"","""0-0-1""","0-0-1","",1.0,"21:00:00"
"","""1-0-0""","1-0-0","",1.0,"9:00:00"
"","""1-1-1""","1-1-1","",1.0,"9:00:00"
"","","","",1.0,"14:00:00"
"","","","",1.0,"21:00:00"
"","""1-0-1""","1-0-1","",1.0,"9:00:00"
"","","","",2.0,"21:00:00"
"","""Once Bedtime""","Once Bedtime","",1.0,"21:00:00"
"","""5 times a day""","5 times a day","",1.0,"5:00:00"
"","","","",1.0,"9:00:00"
"","","","",1.0,"13:00:00"
"","","","",1.0,"17:00:00"
"","","","",1.0,"21:00:00"
"","""QID""","QID","",1.0,"9:00:00"
"","","","",1.0,"13:00:00"
"","","","",1.0,"17:00:00"
"","","","",1.0,"21:00:00"
"","""TID""","TID","",1.0,"9:00:00"
"","","","",1.0,"14:00:00"
"","","","",1.0,"21:00:00"
"","""BID""","BID","",1.0,"9:00:00"
"","","","",2.0,"21:00:00"
"","""Once Daily""","Once Daily","",1.0,"9:00:00"
