"Data Import Template"
"Table:","Duration"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Duration","",""
"Column Labels:","ID","Number","Period"
"Column Name:","name","number","period"
"Mandatory:","Yes","Yes","Yes"
"Type:","Data (text)","Int","Select"
"Info:","","Integer","One of: Hour, Day, Week, Month"
"Start entering data below this line"
"","""3 Month""",3,"Month"
"","""2 Month""",2,"Month"
"","""1 Month""",1,"Month"
"","""12 Hour""",12,"Hour"
"","""11 Hour""",11,"Hour"
"","""10 Hour""",10,"Hour"
"","""9 Hour""",9,"Hour"
"","""8 Hour""",8,"Hour"
"","""7 Hour""",7,"Hour"
"","""6 Hour""",6,"Hour"
"","""5 Hour""",5,"Hour"
"","""4 Hour""",4,"Hour"
"","""3 Hour""",3,"Hour"
"","""2 Hour""",2,"Hour"
"","""1 Hour""",1,"Hour"
"","""5 Week""",5,"Week"
"","""4 Week""",4,"Week"
"","""3 Week""",3,"Week"
"","""2 Week""",2,"Week"
"","""1 Week""",1,"Week"
"","""6 Day""",6,"Day"
"","""5 Day""",5,"Day"
"","""4 Day""",4,"Day"
"","""3 Day""",3,"Day"
"","""2 Day""",2,"Day"
"","""1 Day""",1,"Day"
