"Data Import Template"
"Table:","Medical Department"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Medical Department",""
"Column Labels:","ID","Department"
"Column Name:","name","department"
"Mandatory:","Yes","Yes"
"Type:","Data (text)","Data"
"Info:","",""
"Start entering data below this line"
"","","Accident and emergency care"
"","","Anaesthetics"
"","","Biochemistry"
"","","Cardiology"
"","","Dermatology"
"","","Diagnostic imaging"
"","","ENT"
"","","Gastroenterology"
"","","General Surgery"
"","","Gynaecology"
"","","Haematology"
"","","Maternity"
"","","Microbiology"
"","","Nephrology"
"","","Neurology"
"","","Oncology"
"","","Orthopaedics"
"","","Pathology"
"","","Physiotherapy"
"","","Rheumatology"
"","","Serology"
"","","Urology"
